Target,Source
盾牌（魔法物品）,shield (magic item)
闪耀远征军,Shining Crusade
闪耀诸国,Shining Kingdoms
硕理,Shory
银渡鸦,Silver Ravens
基础DC,simple DCs
雪（气候）,snow (climate)
社交遭遇,social encounters
雨浸湿地,Sodden Lands
特殊战斗,special battles
星石,Starstone
星石岛,Starstone Isle
饥饿和口渴,starvation and thirst
静态,static (trait)
反常重力,strange gravity (trait)
主观重力,subjective gravity (trait)
子系统,subsystems
太阳兰灵药,sun orchid elixir
突然袭击,surprise attacks
集群（特征）,swarm (trait)
塔尔多,Taldor
扭曲棘林,Tanglebriar
塔巴丰,Tar-Baphon
温度（气候）,temperature (climate)
瑟西隆,Thassilon
口渴和饥饿,thirst and starvation
斯戎,Thrune
苏威雅,Thuvia
天夏,Tian Xia
时间（特征）,time (trait)
时代,time
静滞（特征）,timeless (trait)
工具（炼金物品）,tool (alchemical item)
托拉格（神祇）,Torag (deity)
龙卷风（自然灾害）,tornado (natural disaster)
团灭,total party kill (TPK)
城镇（特征）,town (trait)
旅行,travel
宝藏,treasure
毁木者,Treerazer
微弱威胁（遭遇威胁）,trivial (encounter threat)
海啸（自然灾害）,tsunami (natural disaster)
无界（特征）,unbounded (trait)
罕见（稀有度）,uncommon (rarity)
物质宇宙,Universe (plane)
厄加图娅,Urgathoa (deity)
乌萨罗,Usaro
乌斯塔拉夫,Ustalav
变体规则,variant rules
瓦瑞西亚,Varisia
载具（子系统）,vehicles (subsystem)
胜利点（子系统）,Victory Points (VP)(subsystem)
维德瑞安,Vidrian
村庄（特征）,village (trait)
大虚空（位面）,Void (plane)
火山爆发（自然灾害）,volcanic eruption (natural disaster)
伏陀罗,Vudra
瓦尔克纳,Walkena
墙壁，门和大门,"walls, doors, and gates"
魔杖（魔法物品）,wand (magic item)
守夜,watches
财富,wealth
武器（魔法物品）,weapon (magic item)
天气,weather
友善的环境,welcoming environment
化形生物（特征）,werecreature (trait)
西冠城,Westcrown
默语暴君,Whispering Tyrant
默语魔道,Whispering Way
野火（自然灾害）,wildfire (natural disaster)
风（气候）,wind (climate)
风力（载具推进特征）,wind (vehicle propulsion trait)
奇妙消耗品（魔法物品）,wondrous consumable (magic item)
世界构建,world building
世界之伤,Worldwound
穿戴物品（魔法物品）,worn item (magic item)
X卡片,X-Card
雅马萨,Yamasa
宗-库山,Zon-Kuthon
纠缠,fuse
阿扎克缇（特征）,azarketi
沼蜍人（特征）,boggard
熊地精（特征）,bugbear
羽蛇（特征）,coatl
癫儒（特征）,dero
吸血裔（特征）,dhampir
冥人（特征）,duskwalker
幽灵（特征）,ghost
食尸鬼（特征）,ghoul
小魔怪（特征）,gremlin
木乃伊（特征）,mummy
突变（特征）,mutant
宁芙（特征）,nymph
恶鬼（特征）,oni
魅影（特征）,phantom
古魔（特征）,qlippoth
罗刹（特征）,rakshasa
海魔鬼（特征）,sedacthy
骷髅（特征）,skeleton
缚魂（特征）,soulbound
小妖精（特征）,sprite
天恩（特征）,Tane
巨魔（特征）,troll
吸血鬼（特征）,vampire
尸妖（特征）,wight
缚灵（特征）,wraith
地蜥人（特征）,xulgath
丧尸（特征）,zombie
水下（特征）,aquadynamic (trait)
阿萨鱼人（特征）,athamaru (trait)
启蒙动物（特征）,awakened animal (trait)
巴兰切特,Baranthet
触媒（特征）,catalyst (trait)
猫族（特征）,catfolk (trait)
半人马（特征）,centaur (trait)
查里克莉娅,Charikleia
生物调整,creature adjustments
泡姆医生,Dr. Gulnara Pom
卓恩,Droon
火器,firearm
植入体（特征）,graft (trait)
格雷夫,Grefu
化身（特征）,incarnate (trait)
艾鲁希,iruxi
蜥蜴人（特征）,lizardfolk (trait)
莱瑟雅,Lythea
人鱼（特征）,merfolk (trait)
牛头人（特征）,minotaur (trait)
拆毁（武器特征）,razing (weapon trait)
瑟基虫人（特征）,surki (trait)
泰勒罗,Telero
十号,Ten
树蛙人,tripkee (trait)
毒性（武器特征）,venomous (weapon trait)
荒野的守望者,Warden of the Wild
西洋镜号,Zoetrope
添加剂（特征）,additive (trait)
炼金术士（职业）,alchemist (class)
炼金术士（特征）,alchemist (trait)
野蛮人（职业）,barbarian (class)
野蛮人（特征）,barbarian (trait)
虚势（特征）,bravado (trait)
神卫（职业）,champion (class)
神卫（特征）,champion (trait)
凝血（特征）,coagulant (trait)
咒缚（特征）,cursebound (trait)
龙裔（特征）,dragonblood (trait)
龙革（材料）,dragonhide (material)
终结（特征）,finisher (trait)
配方簿,formula book
阻碍（特征）,hampering (weapon trait)
大地精（特征）,hobgoblin (trait)
灌注（特征）,infused (trait)
调查员,investigator (class)
调查员（特征）,investigator (trait)
鬣狗人（特征）,kholo (trait)
狗头人（特征）,kobold (trait)
武僧（职业）,monk (class)
武僧（特征）,monk (trait)
突变药剂（特征）,mutagen (trait)
先知（职业）,oracle (class)
先知（特征）,oracle (trait)
鼠族（特征）,ratfolk (trait)
术士（职业）,sorcerer (class)
术士（特征）,sorcerer (trait)
浪客（职业）,swashbuckler (class)
浪客（特征）,swashbuckler (trait)
天狗（特征）,tengu (trait)
侠客（特征）,vigilante (trait)
阿卡艾克克,Achaekek
艾厄达拉,aiudara
灵媒（职业）,animist (class)
灵媒（特征）,animist (trait)
天启骑士,Apocalypse Rider
天启骑士变体,apocalypse rider (archetype)
精魄（特征）,apparition (trait)
大魔变体,archfiend (archetype)
晋升天族变体,ascended celestial (archetype)
复仇者变体（职业变体）,avenger (class archetype)
兽主变体,beast lord (archetype)
血怒者变体（职业变体）,bloodrager (class archetype)
破链变体,broken chain (archetype)
感召,Calling
感召（特征）,calling (trait)
震荡（特征）,concussive (trait)
半神,demigod
命途（特征）,destiny (trait)
吞噬者,Devourer
万古英名变体,eternal legend (archetype)
神源者（职业）,exemplar (class)
神源者（特征）,exemplar (trait)
神种变体,godling (archetype)
神雨,Godsrain
弘古,Hongal
斯戎家族,House Thrune
花国,Hwanggot
冰痕,Icemark
神迹（特征）,ikon (trait)
固有,immanence
分层（特征）,laminar (trait)
火发玛哈,Mahja Firehair (deity)
密拉妮,Milani
神话（特征）,mythic (trait)
神话,mythic
神话命途,mythic destiny
神话点,Mythic Points
神话熟练度,mythic proficiency
纳霍亚,Nahoa
御海洋,Okaiyo Ocean
奥莱哈拉,Olehala
外环,Outer Sphere
命定君主变体,prophesied monarch (archetype)
拉扎特兰,Razatlan
萨莫,Samo
萨克里斯之疤,Sarkoris Scar
总管变体（职业变体）,seneschal (class archetype)
神门,Shenmen
祖瑞尔,Szuriel
撕扯（特征）,tearing (trait)
栓绳（特征）,tethered (trait)
天景,Tianjing
解放（特征）,transcendence (trait)
乌尔奇,Uirch
瓦尔基人,Varki
卫道者变体（职业变体）,vindicator (class archetype)
游移（特征）,wandering (trait)
不朽之战,War of Immortals
传说勇士变体（职业变体）,warrior of legend (class archetype)
汹涌法源变体,wildspell (archetype)
“Her”,她
Aadal Sangeeker,阿达尔·桑基克尔
Aatedzi,阿特兹迪
Abadar,阿巴达尔
Abadarcorp,阿巴达尔集团
Aballon,阿巴隆
Aballonian,阿巴隆人/阿巴隆的
Absalom Pact,艾布萨罗姆协约
Acalata System,阿卡拉塔恒星系
Access Infosphere,接入信息圈
Ace Mayor Sindeo,王牌市长辛迪奥
Acsie Ruins,阿克塞废墟
activate,激活
Acts and Vows,《功行与誓约》
Admiral Erioch Ourevest,海军上将埃里奥克·乌雷维斯特
advanced,先进（型）
Aeon Guard,万古卫队
Aeon Throne,万古王座
Aidcay-7,艾德凯-7
AKASHIC SOCIETY,阿卡西协会
Alca Gabrio,阿尔卡·加布里奥
Alera Okwana,阿莱拉·奥克瓦纳
alghollthus,阿尔古苏
alithees,阿利泽石人
Alluvion,阿鲁维恩
Almolar,阿尔莫拉
Amnieka,阿姆涅卡
Anacite,械虫族/衍构体
Analog,非电子
anathemas,禁忌
Ancient Elebrians,古代埃勒布兰人
Ancient Ghoul,古代食尸鬼
Andrest,安德烈斯特
Apex,巅峰
Apostae,阿泼斯忒
Apotheosis Partnership,圣神合伙公司
Arabani Arms,阿拉巴尼武器公司
Aralydio,阿拉莱迪奥
Archaic,古早
Areas of Concern,神职
Argent Trust,银白信托
Argent Trust Corporation,银信集团
Arl,阿尔
Arshalin,阿沙林
ArshTech,阿什科技
Asana,阿萨纳
ASPIS CONSORTIUM,蛇徽财团
ASTRAZOAN,星蛸族
Aucturn,奥克腾
Aucturnite,奥克腾岩
Aucturnite Augurs,奥克腾占卜仪
Aucturn's Child,奥克腾之子
Augmented,增强
AUTODREAMER,明梦晶片
Automatrix,自动矩阵
AUTORECOGNITION LENS,自动识别晶状体
Azhan Prime,阿冉首星
Azhans,阿冉人
Azlanti space,阿兹兰特星域
Azlanti Star Empire,阿兹兰特星际帝国
Azrinae,亚兹里纳（家族）
azrinaran elves,亚兹里纳精灵
barathu,飞螅族
Bastiar-1,巴斯蒂亚尔一号
Bastolak,巴斯托洛克
Bastoroxes?,堡垒虫
Battle for Kehtaria,科塔瑞亚之战
Battle of Aledra,阿莱德拉之战
Battle of the Amethyst Transcendence,紫晶超验之战
battleflowers,战花
Bedrock Accord,《基石协定》
Bennon Kadis,本农·卡迪斯
Bentary Prengst,本塔里·普伦斯特
Besmara,贝斯玛拉
Be-Tech,为-科技
Big Nan,大楠
Binata,比娜塔
Biotech,生物工程
Birinor,比里诺
black ledger,黑账簿
Blackjacket,黑衫军
Blooms,绽放
Boggle,博格
Bone Sage,骸骨贤者
borai,活尸裔
Boundary,界限
Boundless,无尽城
Bounty,赏金区
Branches,分枝
Breg Castervin,布雷格·卡斯特文
Brispex,布里斯佩克斯
Broadsides,舷侧
Broken Mackerel,断纹鲭鱼
Broken Minds,破碎心智
Broken Rock,碎岩
Broken Rock Oath,碎岩誓约
Brutaris,暴徒球
Brutaris Xtreme Xperience,《暴徒球极限体验》
Bryvaths,布里瓦斯人
BT Zero,BT零号
Bubble of Birlen,比尔南之泡
Bulwarks,壁垒群岛
Cache,缓存库
Cadmus Badowyre,卡德摩斯·拜多维瑞
Caldera,火山口
Caliss,卡利斯
Calliope,卡利俄珀号
Camshaft,凸轮轴营地
Captain Pecria Garadris,佩克里亚带·加拉德里斯上尉
Carbon Shield,碳素盾
Cardalis,卡达利人
CARDIAC ACCELERATOR,心跳加速器
Carrion Cabaret,腐肉夜总会
Carsai the King,卡赛王
Casparian Arabani,卡斯帕里安·阿拉巴尼
Castrovel,卡斯卓韦
Celestial,天族
Center C,C中心
Ceobarn Zeizerer,瑟巴恩·泽泽尔
cerebinium,脑晶
Ceris Hightower,瑟莉丝·高塔
CertitudeEnlightenment-Crusade-Unity,确定性启蒙圣战单元
Chaos,混沌区
children of Golarion,格拉利昂之子
ChiwaTech,齐瓦科技
Chronicler-03,编年史家-03
Chuu-Shai,楚-沙伊
Circle of Keepers,守护者圆桌
Citadel Firidius,城堡舰菲里迪乌斯
Citadel of the Black,黑堡
Citadel Tyras II,城堡舰泰拉斯II号
Citadel Zirval,城堡舰齐尔瓦
cities,城市
City of Murthal,穆尔塔尔城
CityMcCityFace,随便叫啥城
Cleric Spells,牧师法术
CLIMBING SUCKERS,攀爬吸盘
Clirikiara?,克利瑞基亚拉
Cloudhigh Mountains,云巅山脉
Code of the Inheritor,后继者法典
Coenocopi Foundation,共生科皮基金会
Collator 0,校验机0
Command 8,八号指挥部
Command Prime,统帅圣城
commericial,商用（型）
Compact Shield,袖珍盾
Compensatorium Collective,补偿主义共同体
Concordial Array,和谐阵列
Confluence,汇流
Conqueror’s Path,征服者之路
Conquerors Clash,征服者之战
Conqueror's Forge,征服者熔炉
Conqueror's Path,征服者之路
Constant Law 001,恒律001
Contemplative,默思族
Continuum,连续城
Cooperative of Worlds,世界合作组织
copaxi,珊瑚人
copi,科皮
corporations,合作
Corpse Fleet,尸骸舰队
Corzadai,科尔扎代人
cosmic,宇宙
Cosmic Bazaar,宇宙巴扎
Council of Whispers,默语协会
Courier Comms,信使暗号
Courier Krome,信使克罗姆
Courier Lotus,信使莲花
Courier Nova,信使诺娃
creation,造物术
Creation’s Forge,创生熔炉
credit,信用点
crossbolter,弩弹枪
crossbow,弩
Crossways,交叉口
Crown Mantle Casino,王冠斗篷赌场
Curiosity,好奇号
Cuvacara,库瓦卡拉
cybernetic,电控机械
cybernetic surgeon,义体医生
Daegox Corporation,戴戈克斯公司
Daegox-4,戴戈克斯四号
Daetrin,戴特林
Dagosarn,达戈萨恩
Dahak's Claw,达哈克之爪
Daimalko,戴马尔科
Damatri,达马崔
Damiar,达米尔
Danivar Torminent,达尼瓦尔·托门特
Danskon Shipyards,丹斯康造船厂
Darbie,达比
Darbie's Depot,达比仓库
Darkside,永暗面
DARKVISION CAPACITORS,黑视电容义眼
Data Scourge,数据浩劫
Datajack,数据接口
Day of Reflection,沉思日
Daza,达扎
DEEP CULTURES INSTITUTE,深秘文化研究所
Deep Gala,深海盛宴
Deeprot,深腐派
Deflecting Field,偏斜力场
Demakti,德马克蒂
Demon Moon / Ruarde,恶魔之月 / 鲁阿尔德
DERMAL PLATING,真皮镀层
